SNDG	ELIGIBLE_FIN_STAT_COND_1	ELIGIBLE_FIN_STAT_COND_2	ELIGIBLE_FIN_STAT_COND_3	ELIGIBLE_FIN_STAT_COND_4	ELIGIBLE_FIN_STAT_COND_5	ELIGIBLE_FIN_STAT_COND_6	ELIGIBLE_FIN_STAT_COND_7	ELIGIBLE_FIN_STAT_COND_8	ELIGIBLE_FIN_STAT_COND_9	NUM_IND_3	IND_03_	NUM_IND_4	DEN_IND_4	IND_04_	NUM_IND_5	DEN_IND_5	IND_05_	BR3	BR4	BR5	BR000009	BR000001	colore	COLOR_APP
0000000017041544	1	1	1	1	1	0	1	1	1	730000,000000	?	-599000,000000	7367000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016333019	1	1	1	1	1	1	1	1	1	-14000,000000	-0,010	-128000,000000	6133000,000000	-0,021	?	?	?	1	1	0	0	0	?	S01
0000000016824165	1	1	1	1	1	0	1	1	1	0,000000	?	116000,000000	2610000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017273630	1	1	1	1	1	1	1	1	1	118000,000000	0,151	-499000,000000	3616000,000000	-0,138	?	?	?	1	1	0	0	0	?	S01
0000000047340025	1	1	1	1	1	0	1	1	1	33000,000000	?	-18000,000000	4711000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000047697067	1	1	1	1	1	0	0	0	0	1584000,000000	?	29000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000026998934	1	1	1	1	1	0	1	1	1	-20000,000000	?	-88000,000000	728000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017668055	1	1	1	1	1	1	1	1	1	22000,000000	0,094	-138000,000000	2883000,000000	-0,048	?	?	?	1	1	0	0	0	?	S01
0000000016538889	1	1	1	1	1	1	1	1	1	29000,000000	0,003	39000,000000	7678000,000000	0,005	?	?	?	1	1	0	0	0	?	S01
0000000016938653	1	1	1	1	1	0	1	1	1	1420000,000000	?	-312000,000000	14458000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017259386	1	1	1	1	1	0	1	1	1	8000,000000	?	651000,000000	1900000,000000	?	?	?	?	0	0	0	0	0	?	S10
0000000073115040	1	1	1	1	1	0	0	0	0	-2000,000000	?	144000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017302956	1	1	1	1	1	1	1	1	1	425000,000000	0,442	19000,000000	3959000,000000	0,005	?	?	?	1	1	0	0	0	?	S01
0000000073976360	1	1	1	1	1	0	1	1	1	481000,000000	?	-5164000,000000	17423000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017745508	1	1	1	1	1	1	1	1	1	10000,000000	0,032	83000,000000	974000,000000	0,085	?	?	?	1	1	0	0	0	?	S01
0000000016551299	1	1	1	1	1	1	1	1	1	50000,000000	1,923	-34000,000000	463000,000000	-0,073	?	?	?	0	1	0	0	0	?	S01
0000000047252288	1	1	1	1	1	0	1	1	1	-142000,000000	?	179000,000000	1143000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016952363	1	1	1	1	1	1	1	1	1	919000,000000	0,045	510000,000000	1546000,000000	0,330	?	?	?	1	1	0	0	0	?	S01
0000000058877654	1	1	1	1	1	0	0	0	0	91000,000000	?	7745000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S50
0000000017774555	1	1	1	1	1	1	1	1	1	38000,000000	0,026	2203000,000000	20543000,000000	0,107	?	?	?	1	1	0	0	0	?	S01
0000000026775411	1	1	1	1	1	1	1	1	1	-11000,000000	-0,007	60000,000000	6858000,000000	0,009	?	?	?	1	1	0	0	0	?	S01
0000000017480820	1	1	1	1	1	1	1	1	1	12000,000000	0,017	105000,000000	2476000,000000	0,042	?	?	?	1	1	0	0	0	?	S01
0000000076097841	1	1	1	1	1	1	1	1	1	7000,000000	0,077	244000,000000	2549000,000000	0,096	?	?	?	1	1	0	0	0	?	S01
0000000027121900	1	1	1	1	1	0	1	1	1	4000,000000	?	7000,000000	1590000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000047339403	1	1	1	1	1	0	0	0	0	8862000,000000	?	5490000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000016920813	1	1	1	1	1	1	1	1	1	7668000,000000	0,086	5507000,000000	273958000,000000	0,020	?	?	?	1	1	0	0	0	?	S30
0000000017719102	1	1	1	1	1	1	1	1	1	33000,000000	0,051	1533000,000000	10118000,000000	0,152	?	?	?	1	1	0	0	0	?	S01
0000000017021792	1	1	1	1	1	0	1	1	1	81000,000000	?	363000,000000	1928000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000083467473	1	1	1	1	1	1	0	0	0	159000,000000	?	2249000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000058896124	1	1	1	1	1	1	0	0	0	1246000,000000	?	547000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S10
0000000088279929	1	1	1	1	1	1	0	0	0	154000,000000	?	1244000,000000	0,000000	?	?	?	?	0	0	0	0	0	?	S10
0000000016819397	1	1	1	1	1	1	1	1	1	-371000,000000	-0,018	4824000,000000	18383000,000000	0,262	?	?	?	1	1	0	0	0	?	S01
0000000017427992	1	1	1	1	1	0	1	1	1	109000,000000	?	438000,000000	6618000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000047692947	1	1	1	1	1	1	1	1	1	-35000,000000	-0,028	-214000,000000	2935000,000000	-0,073	?	?	?	1	1	0	0	0	?	S10
0000000017054588	1	1	1	1	1	0	1	1	1	9000,000000	?	-190000,000000	3276000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000017884346	1	1	1	1	1	0	1	1	1	-19000,000000	?	424000,000000	7634000,000000	?	?	?	?	0	0	0	0	0	?	S01
0000000082759316	1	1	1	1	1	0	1	1	1	-95000,000000	?	-25000,000000	253000,000000	?	?	?	?	0	0	0	0	0	?	S10
0000000016945447	1	1	1	1	1	1	1	1	1	40000,000000	0,007	737000,000000	2947000,000000	0,250	?	?	?	1	1	0	0	0	?	S01
