SNDG	NUM_IND_58	DEN_IND_58	IND_58	NUM_IND_55	DEN_IND_55	IND_55	NUM_IND_56	DEN_IND_56	IND_56	NUM_IND_57	DEN_IND_57	IND_57	COLOR_APP
0000000046810889	0,000000000000	83000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000047337178	0,000000000000	51845000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	1667897,666666666667	12001230,666666666667	0,138977219336	4448276,000000000000	4448276,000000000000	1,000000000000	S01
0000000087803568	0,000000000000	95000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	4486,333333333333	10000,000000000000	0,448633333333	26771,666666666667	26771,666666666667	1,000000000000	S00
0000000046976007	207057,000000000000	824000,00	0,251282766990	0,000000000000	0,000000000000	-1000000,000000000000	41110,333333333333	0,000000000000	1000000,000000000000	1639842,666666666667	1631415,333333333333	1,005165657795	S30
0000000084161741	53496,000000000000	451000,00	0,118616407982	53496,000000000000	65000,000000000000	0,823015384615	16045,333333333333	16786,333333333333	0,955856947120	41835,666666666667	106835,666666666667	0,391588951255	S00
0000000017267611	46666,666666666667	2656000,00	0,017570281124	46666,666666666667	140000,000000000000	0,333333333333	273088,000000000000	500000,000000000000	0,546176000000	0,000000000000	0,000000000000	-1000000,000000000000	S01
0000000093010700	0,000000000000	44000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000016554525	0,000000000000	2078000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	588958,000000000000	950000,000000000000	0,619955789474	70468,333333333333	70468,333333333333	1,000000000000	S01
0000000017047673	0,000000000000	292000,00	0,000000000000	0,000000000000	70000,000000000000	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000016816055	0,000000000000	69000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	89683,000000000000	89683,000000000000	1,000000000000	S00
0000000017421103	0,000000000000	1351000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	200431,000000000000	200431,000000000000	1,000000000000	S00
0000000047265516	0,000000000000	57000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	57754,000000000000	57754,000000000000	1,000000000000	S00
0000000070696428	220949,333333333333	4474000,00	0,049385188496	220949,333333333333	227666,000000000000	0,970497717416	0,000000000000	20000,000000000000	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S01
0000000026938512	12000,000000000000	109000,00	0,110091743119	0,000000000000	0,000000000000	-1000000,000000000000	15825,333333333333	30000,000000000000	0,527511111111	47471,000000000000	47471,000000000000	1,000000000000	S00
0000000071535624	897215,666666666667	8491000,00	0,105666666667	897215,666666666667	2750000,000000000000	0,326260242424	456,333333333333	20456,333333333333	0,022307679773	0,000000000000	0,000000000000	-1000000,000000000000	S01
0000000017387013	12273,000000000000	261000,00	0,047022988506	12273,000000000000	50000,000000000000	0,245460000000	10911,000000000000	11421,333333333333	0,955317534438	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000047298814	0,000000000000	11000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000082058622	0,000000000000	467000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	37476,333333333333	40000,000000000000	0,936908333333	116434,000000000000	116434,000000000000	1,000000000000	S00
0000000017271148	5000,000000000000	18000,00	0,277777777778	5000,000000000000	5000,000000000000	1,000000000000	19,000000000000	0,000000000000	1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000017939454	78580,333333333333	411000,00	0,191193025142	78580,333333333333	100000,000000000000	0,785803333333	2889,000000000000	10000,000000000000	0,288900000000	17317,000000000000	17317,000000000000	1,000000000000	S00
0000000017049144	944153,000000000000	3404000,00	0,277365746181	944153,000000000000	1200000,000000000000	0,786794166667	0,000000000000	25000,000000000000	0,000000000000	414015,666666666667	414015,666666666667	1,000000000000	S01
0000000082727169	0,000000000000	269000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	15052,333333333333	30000,000000000000	0,501744444444	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000016395072	13000,000000000000	152000,00	0,085526315789	13000,000000000000	29666,666666666667	0,438202247191	136,666666666667	10000,000000000000	0,013666666667	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000016833621	0,000000000000	2436000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	21,666666666667	0,000000000000	1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S10
0000000016473211	29900,666666666667	650000,00	0,046001025641	23209,333333333333	40000,000000000000	0,580233333333	483,000000000000	25000,000000000000	0,019320000000	6691,333333333333	6691,333333333333	1,000000000000	S00
0000000068631267	745970,666666666667	3186000,00	0,234140196694	745970,666666666667	816666,666666666667	0,913433469388	185,333333333333	0,000000000000	1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S30
0000000016885743	21784,000000000000	2147000,00	0,010146250582	21784,000000000000	50000,000000000000	0,435680000000	35,500000000000	0,000000000000	1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000069499099	7243,000000000000	850000,00	0,008521176471	7243,000000000000	100000,000000000000	0,072430000000	497,000000000000	10497,000000000000	0,047346861008	179797,333333333333	179797,333333333333	1,000000000000	S00
0000000081398480	0,000000000000	268000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	40000,000000000000	0,000000000000	22861,333333333333	22861,333333333333	1,000000000000	S00
0000000081388124	0,000000000000	355000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	5000,000000000000	0,000000000000	32627,666666666667	32627,666666666667	1,000000000000	S00
0000000016747304	1101,333333333333	597000,00	0,001844779453	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	72711,333333333333	72712,333333333333	0,999986247175	S00
0000000069458073	7994,666666666667	22000,00	0,363393939394	7994,666666666667	20000,000000000000	0,399733333333	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
0000000047261991	0,000000000000	1589000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	384428,000000000000	384428,000000000000	1,000000000000	S00
0000000047246170	0,000000000000	103000,00	0,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	32812,666666666667	32812,666666666667	1,000000000000	S00
0000000016930350	0,000000000000	17433000,00	0,000000000000	0,000000000000	1000000,000000000000	0,000000000000	267,000000000000	100000,000000000000	0,002670000000	0,000000000000	0,000000000000	-1000000,000000000000	S01
0000000016911095	150000,000000000000	651000,00	0,230414746544	138333,333333333333	141666,666666666667	0,976470588235	6981,666666666667	0,000000000000	1000000,000000000000	425691,000000000000	425691,000000000000	1,000000000000	S00
0000000066549533	96000,000000000000	293000,00	0,327645051195	96000,000000000000	100000,000000000000	0,960000000000	339,333333333333	0,000000000000	1000000,000000000000	0,000000000000	0,000000000000	-1000000,000000000000	S00
